Fatura,ID_Cliente,CNPJ,Razao_Social,Nome_Fantasia,Situacao_Cadastral,Data_Situacao_Cadastral,Motivo_Situacao,Natureza_Juridica,Data_Inicio_Atividade,CNAE_Principal_Codigo,CNAE_Principal_Descricao,Porte,Capital_Social,Simples_Nacional,MEI,Email,Telefone,CEP_Receita,Logradouro_Receita,Numero_Receita,Complemento_Receita,Bairro_Receita,Municipio_Receita,UF_Receita
1,2248075,52611183000185,VIDEIRA TRANSPORTES RODOVIARIOS LTDA,,ATIVA,2003-11-15,SEM MOTIVO,,1983-06-07,4930203,Transporte rodoviário de produtos perigosos,,15000000,,,,000000000000,09842000,ASSUMPTA SABATINI ROSSI,1500,,BATISTINI,SAO BERNARDO DO CAMPO,SP
2,2321987,54454862000113,GLN HOME LTDA,GLN HOME,ATIVA,2024-03-25,SEM MOTIVO,,2024-03-25,4755503,"Comercio varejista de artigos de cama, mesa e banho",,10000,False,False,,1896309918,19040520,TANCREDO NEVES,1238,,VILA BRASIL,PRESIDENTE PRUDENTE,SP
6,1718601,50764489000146,BIA PNEUS LTDA - EM RECUPERACAO JUDICIAL,,ATIVA,2004-11-26,SEM MOTIVO,,1982-07-13,2212900,Reforma de pneumáticos usados,,201120,,,,1831174500,16902160,JOSE GARCIA DE FREITAS,46,,DISTRITO INDUSTRIAL,ANDRADINA,SP
7,2899435,41499463000127,HUB URBANIDADE LTDA,,ATIVA,2021-04-08,SEM MOTIVO,,2021-04-08,6319400,"Portais, provedores de conteúdo e outros serviços de informação na internet",,50000,True,False,,4784129974,89223005,ROLF WIEST,277,ANDAR 2 SALA 219,BOM RETIRO,JOINVILLE,SC
8,156542,12355718000180,CARRILHO AREIA E PEDRA LTDA,CARRILHO AREIA E PEDRA,ATIVA,2010-07-01,SEM MOTIVO,,2010-07-01,4744004,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",,15000,True,False,,1239361486,12228271,LAUDELINO GONCALVES DE MIRANDA,235,,JARDIM SANTA JULIA,SAO JOSE DOS CAMPOS,SP
10,817098,13052034000171,MARCELO GOMES DE OLIVEIRA METAIS,METTA INDUSTRIA E COMERCIO DE METAIS,ATIVA,2010-11-16,SEM MOTIVO,,2010-11-16,3211602,Fabricação de artefatos de joalheria e ourivesaria,,100000,False,False,,,13631030,,,,CENTRO,PIRASSUNUNGA,SP
11,572039,40699468000130,J.C. TERCEIRIZACAO EM MATERIAIS ELETRICOS LTDA,J.C. TERCEIRIZACAO,ATIVA,2021-02-03,SEM MOTIVO,,2021-02-03,2732500,Fabricação de material elétrico para instalações em circuito de consumo,,30000,True,False,,1995307274,13615686,ORLANDO LEME FRANCO,2175,,ALTO DA BOA VISTA,LEME,SP
13,2479473,55768641000182,DONA ROMA DECORACAO LTDA,DONA ROMA DECOR,ATIVA,2024-07-02,SEM MOTIVO,,2024-07-02,7410202,Design de interiores,,200000,True,False,,6784110220,79602050,DOUTOR MUNIR THOME,814,,CENTRO,TRES LAGOAS,MS
14,484049,03695145000142,ASSOCIACAO COMERCIAL E INDUSTRIAL DE TRES LAGOAS,,ATIVA,2002-12-28,SEM MOTIVO,,1976-08-17,9411100,Atividades de organizações associativas patronais e empresariais,,0,,,,,79645020,WILSON CARVALHO VIANA,519,,SANTO ANDRE,TRES LAGOAS,MS
15,2094686,36383010000109,STUTZ TATTOO PIERCING E BARBEARIA LTDA,,ATIVA,2020-02-14,SEM MOTIVO,,2020-02-14,9602501,"Cabeleireiros, manicure e pedicure",,104500,True,False,,1141376902,06440180,GENERAL DE DIVISAO DE PEDRO RODRIGUES DA SILVA,400,LOJA 1060 PAVMTOL 1,ALDEIA,BARUERI,SP
